Date,Đóng cửa,Log-return 
1/3/2023,19.8396,
1/4/2023,19.7959,-0.22051
1/5/2023,19.7522,-0.22
1/6/2023,20.4951,3.69210
1/9/2023,20.4951,0.00000
1/10/2023,20.8884,1.90081
1/11/2023,20.8010,-0.41929
1/12/2023,20.9758,0.83683
1/13/2023,20.9758,0.00000
1/16/2023,20.7136,-1.25789
1/17/2023,20.9758,1.25789
1/18/2023,20.9758,0.00000
1/19/2023,21.5002,2.46928
1/27/2023,21.7624,1.21215
1/30/2023,22.3742,2.77248
1/31/2023,22.5053,0.58423
2/1/2023,21.1069,-6.41508
2/2/2023,21.7187,2.85736
2/3/2023,21.8498,0.60181
2/6/2023,22.5053,2.95591
2/7/2023,22.0246,-2.15908
2/8/2023,22.0246,0.00000
2/9/2023,21.9372,-0.39762
2/10/2023,21.9372,0.00000
2/13/2023,22.1557,0.99110
2/14/2023,22.6364,2.14644
2/15/2023,22.8112,0.76924
2/16/2023,23.6851,3.75945
2/17/2023,23.4666,-0.92680
2/20/2023,23.4229,-0.18640
2/21/2023,24.1221,2.94143
2/22/2023,23.5540,-2.38328
2/23/2023,22.8112,-3.20440
2/24/2023,22.7238,-0.38388
2/27/2023,21.8935,-3.72230
2/28/2023,22.5490,2.95009
3/1/2023,22.2868,-1.16961
3/2/2023,22.9859,3.08864
3/3/2023,22.6364,-1.53218
3/6/2023,22.5490,-0.38685
3/7/2023,23.2044,2.86512
3/8/2023,23.0733,-0.56658
3/9/2023,23.5977,2.24731
3/10/2023,23.0733,-2.24731
3/13/2023,23.0296,-0.18958
3/14/2023,21.9372,-4.85965
3/15/2023,22.6364,3.13754
3/16/2023,22.0246,-2.73992
3/17/2023,22.1994,0.79053
3/20/2023,21.5876,-2.79462
3/21/2023,21.7624,0.80646
3/22/2023,21.9372,0.80001
3/23/2023,21.7624,-0.80001
3/24/2023,21.5876,-0.80646
3/27/2023,21.5876,0.00000
3/28/2023,21.7187,0.60546
3/29/2023,21.7187,0.00000
3/30/2023,21.8498,0.60181
3/31/2023,20.6262,-5.76297
4/3/2023,21.1506,2.51062
4/4/2023,21.1943,0.20640
4/5/2023,21.4128,1.02566
4/6/2023,21.4128,0.00000
4/7/2023,21.3254,-0.40900
4/10/2023,20.9758,-1.65295
4/11/2023,21.1506,0.82989
4/12/2023,21.5439,1.84244
4/13/2023,21.4128,-0.61038
4/14/2023,20.9758,-2.06195
4/17/2023,20.8010,-0.83683
4/18/2023,20.7136,-0.42106
4/19/2023,20.4514,-1.27391
4/20/2023,20.5825,0.63899
4/21/2023,20.4514,-0.63899
4/24/2023,20.2766,-0.85838
4/25/2023,19.6648,-3.06373
4/26/2023,19.7522,0.44346
4/27/2023,19.7522,0.00000
4/28/2023,19.9707,1.10013
5/4/2023,20.0581,0.43669
5/5/2023,20.2329,0.86769
5/8/2023,19.6648,-2.84798
5/9/2023,20.0144,1.76218
5/10/2023,20.3203,1.51684
5/11/2023,19.7522,-2.83555
5/12/2023,19.7959,0.22100
5/15/2023,20.1892,1.96730
5/16/2023,19.9270,-1.30722
5/17/2023,20.7136,3.87149
5/18/2023,20.9321,1.04934
5/19/2023,20.8010,-0.62828
5/22/2023,20.9758,0.83683
