Date,pELC,rELC,pVTC,rVTC,pBVH,rBVH,pBMI,rBMI,,,,,,,,,,,,,,,,,,,,,,,
3/1/2023,7.3216,,12,,46.5695,,19.8396,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2023,7.2501,-0.9814,12,0.0000,46.5695,0,19.7959,-0.221,,,,,,,,,,,,,,,,,,,,,,,
5/1/2023,7.7144,6.2073,12,0.0000,46.9112,0.73106325,19.7522,-0.221,,,,,,,,,,,,,,,,,,,,,,,
6/1/2023,7.7144,0.0000,11.8,-1.6807,46.9112,0,20.4951,3.692,,,,,,,,,,,,,,,,,,,,,,,
9/1/2023,7.3573,-4.7396,11.8,0.0000,46.7648,-0.312566974,20.4951,0.000,,,,,,,,,,,,,,,,,,,,,,,
10/1/2023,7.5002,1.9237,11.8,0.0000,46.8624,0.208486498,20.8884,1.901,,,,,,,,,,,,,,,,,,,,,,,
11/1/2023,7.5002,0.0000,11.8,0.0000,47.4482,1.242294151,20.801,-0.419,,,,,,,,,,,,,,,,,,,,,,,
12/1/2023,7.5716,0.9475,11.8,0.0000,47.9363,1.023445655,20.9758,0.837,,,,,,,,,,,,,,,,,,,,,,,
13/1/2023,7.3573,-2.8711,11.8,0.0000,47.7411,-0.40803841,20.9758,0.000,,,,,,,,,,,,,,,,,,,,,,,
16/1/2023,7.2144,-1.9614,11.8,0.0000,47.0088,-1.545784389,20.7136,-1.258,,,,,,,,,,,,,,,,,,,,,,,
17/1/2023,7.5716,4.8325,11.8,0.0000,47.4482,0.930377144,20.9758,1.258,,,,,,,,,,,,,,,,,,,,,,,
18/1/2023,8.0716,6.3947,11.8,0.0000,47.2529,-0.412456195,20.9758,0.000,,,,,,,,,,,,,,,,,,,,,,,
19/1/2023,8.5002,5.1738,11.8,0.0000,48.7174,3.052222809,21.5002,2.469,,,,,,,,,,,,,,,,,,,,,,,
27/1/2023,8.3573,-1.6954,11.8,0.0000,49.7913,2.180401417,21.7624,1.212,,,,,,,,,,,,,,,,,,,,,,,
30/1/2023,8.7502,4.5941,11.2,-5.2186,49.3031,-0.985331058,22.3742,2.772,,,,,,,,,,,,,,,,,,,,,,,
31/1/2023,9.143,4.3912,11.2,0.0000,49.2055,-0.198155353,22.5053,0.584,,,,,,,,,,,,,,,,,,,,,,,
1/2/2023,9.0359,-1.1783,11.2,0.0000,48.8150,-0.796776319,21.1069,-6.415,,,,,,,,,,,,,,,,,,,,,,,
2/2/2023,8.8573,-1.9964,11.5,2.6433,48.7662,-0.100019274,21.7187,2.857,,,,,,,,,,,,,,,,,,,,,,,
3/2/2023,8.8573,0.0000,11.5,0.0000,48.5221,-0.501808567,21.8498,0.602,,,,,,,,,,,,,,,,,,,,,,,
6/2/2023,8.9288,0.8040,12.6,9.1350,49.4008,1.794725413,22.5053,2.956,,,,,,,,,,,,,,,,,,,,,,,
7/2/2023,8.7502,-2.0205,12.6,0.0000,48.0340,-2.80575249,22.0246,-2.159,,,,,,,,,,,,,,,,,,,,,,,
8/2/2023,8.7859,0.4072,12.6,0.0000,48.0828,0.101543131,22.0246,0.000,,,,,,,,,,,,,,,,,,,,,,,
9/2/2023,8.7859,0.0000,12.6,0.0000,48.1804,0.202777455,21.9372,-0.398,,,,,,,,,,,,,,,,,,,,,,,
10/2/2023,8.7502,-0.4072,12.6,0.0000,48.6197,0.907649922,21.9372,0.000,,,,,,,,,,,,,,,,,,,,,,,
13/2/2023,8.4287,-3.7434,12.6,0.0000,47.3506,-2.644930742,22.1557,0.991,,,,,,,,,,,,,,,,,,,,,,,
14/2/2023,8.393,-0.4245,13,3.1253,47.9363,1.229355507,22.6364,2.146,,,,,,,,,,,,,,,,,,,,,,,
15/2/2023,8.5359,1.6883,13,0.0000,48.2292,0.609160054,22.8112,0.769,,,,,,,,,,,,,,,,,,,,,,,
16/2/2023,8.643,1.2469,13.9,6.6939,48.9126,1.407038524,23.6851,3.759,,,,,,,,,,,,,,,,,,,,,,,
17/2/2023,9.0002,4.0497,13.9,0.0000,49.2055,0.597037387,23.4666,-0.927,,,,,,,,,,,,,,,,,,,,,,,
20/2/2023,9.3573,3.8910,13.9,0.0000,49.9866,1.574956364,23.4229,-0.186,,,,,,,,,,,,,,,,,,,,,,,
21/2/2023,9.2145,-1.5378,13.9,0.0000,49.3031,-1.376801011,24.1221,2.941,,,,,,,,,,,,,,,,,,,,,,,
